pval,tstat,tcrit,mui,muin,yi,vi,viTrue,m,N,hack,rhoEmp,covEmp,signif,affirm,Di,study.success,study,draw.index
1.29860008762814e-111,1226.8403969239,2.00957523712924,-0.5,0.133702122030746,0.133589572079219,1.18568406101807e-08,1e-08,50,1,affirm2,,,TRUE,TRUE,1,TRUE,1,1
2.62930616663698e-135,3735.40595878787,2.00957523712924,-0.5,0.356717949072637,0.356706602164022,9.11898876759176e-09,1e-08,50,1,affirm2,,,TRUE,TRUE,1,TRUE,2,1
1.79125438124246e-139,-4543.31046017079,2.00957523712924,-0.5,-0.500896475403536,-0.500818802344088,1.21511231184708e-08,1e-08,50,4,affirm2,-0.959350395756601,-0.163299357110047,TRUE,FALSE,0,TRUE,3,1
4.94357778722119e-114,-1374.5662697991,2.00957523712924,-0.5,-0.131998406626791,-0.131878146362229,9.20479886507435e-09,1e-08,50,4,affirm2,-0.959350395756601,-0.163299357110047,TRUE,FALSE,0,TRUE,3,2
1.90922461183888e-152,-8358.21603119462,2.00957523712924,-0.5,-0.841590569493264,-0.841745418948056,1.01422506449093e-08,1e-08,50,4,affirm2,-0.959350395756601,-0.163299357110047,TRUE,FALSE,0,TRUE,3,3
1.9119962899378e-104,875.982546268622,2.00957523712924,-0.5,0.0722391763535553,0.0722000652564548,6.79335443710352e-09,1e-08,50,4,affirm2,-0.959350395756601,-0.163299357110047,TRUE,TRUE,1,TRUE,3,4
9.98120772202297e-149,-7018.25791312514,2.00957523712924,-0.5,-0.712475473484943,-0.712472744327318,1.03057086880022e-08,1e-08,50,6,affirm2,-0.957180706927573,-0.350959450832956,TRUE,FALSE,0,TRUE,4,1
4.16110313300157e-135,-3700.57382203554,2.00957523712924,-0.5,-0.361629487463021,-0.361759488426141,9.55656277932553e-09,1e-08,50,6,affirm2,-0.957180706927573,-0.350959450832956,TRUE,FALSE,0,TRUE,4,2
1.02557300351342e-153,-8872.16766146624,2.00957523712924,-0.5,-0.944313169071978,-0.944296071704349,1.13280950784599e-08,1e-08,50,6,affirm2,-0.957180706927573,-0.350959450832956,TRUE,FALSE,0,TRUE,4,3
5.36690782235161e-105,-898.993615716364,2.00957523712924,-0.5,-0.102133935109574,-0.102336324238952,1.29582517285074e-08,1e-08,50,6,affirm2,-0.957180706927573,-0.350959450832956,TRUE,FALSE,0,TRUE,4,4
9.6666838154928e-167,-16362.8979920396,2.00957523712924,-0.5,-1.49992322030606,-1.49990040020024,8.40242019098901e-09,1e-08,50,6,affirm2,-0.957180706927573,-0.350959450832956,TRUE,FALSE,0,TRUE,4,5
1.62822287932048e-117,1618.95632263146,2.00957523712924,-0.5,0.189413879106942,0.18958873659702,1.37137049234357e-08,1e-08,50,6,affirm2,-0.957180706927573,-0.350959450832956,TRUE,TRUE,1,TRUE,4,6
1.97296982625948e-153,-8754.48651851447,2.00957523712924,-0.5,-0.875512355209705,-0.875584752523009,1.00031095199163e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,0,TRUE,5,1
4.75665216595439e-107,990.022466881826,2.00957523712924,-0.5,0.0886993859502641,0.0888251563189058,8.04974013156365e-09,1e-08,50,2,affirm2,,,TRUE,TRUE,1,TRUE,5,2
4.061659845094e-132,-3215.5755790356,2.00957523712924,-0.5,-0.288388682677878,-0.288370192920433,8.04235598167238e-09,1e-08,50,3,affirm2,-1,-0.100840254760499,TRUE,FALSE,0,TRUE,6,1
2.18663359124122e-147,-6589.76999237164,2.00957523712924,-0.5,-0.602805555571446,-0.602683226756445,8.3644559219425e-09,1e-08,50,3,affirm2,-1,-0.100840254760499,TRUE,FALSE,0,TRUE,6,2
8.94195235322655e-90,439.610885105858,2.00957523712924,-0.5,0.0386374677146072,0.0386972809659112,7.74861399749719e-09,1e-08,50,3,affirm2,-1,-0.100840254760499,TRUE,TRUE,1,TRUE,6,3
