pval,tstat,tcrit,mui,muin,yi,vi,viTrue,m,N,hack,rhoEmp,covEmp,signif,affirm,Di,study.success,study,draw.index
3.27427714800351e-144,5676.32597114561,2.00957523712924,-0.5,0.588487400375734,0.588516154864894,1.0749347991093e-08,1e-08,50,1,affirm2,,,TRUE,TRUE,1,TRUE,1,1
2.26217587259699e-119,-1766.59727046936,2.00957523712924,-0.5,-0.151123856904417,-0.151212023802302,7.32651666479659e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,0,TRUE,2,1
4.39402606076343e-78,253.722982965679,2.00957523712924,-0.5,0.0241014835270091,0.0239208941535973,8.88863763186959e-09,1e-08,50,2,affirm2,,,TRUE,TRUE,1,TRUE,2,2
2.65422633793716e-150,7557.48359523322,2.00957523712924,-0.5,0.68503266227719,0.684888808641657,8.21269535356164e-09,1e-08,50,1,affirm2,,,TRUE,TRUE,1,TRUE,3,1
2.45014328680452e-142,-5197.81496563053,2.00957523712924,-0.5,-0.48936547083349,-0.489243041626981,8.85946883204443e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,4,1
2.63835709376163e-120,-1845.79126571339,2.00957523712924,-0.5,-0.178046217527958,-0.177900836516916,9.28946723512288e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,4,2
1.14120719991589e-160,-12300.9895722696,2.00957523712924,-0.5,-1.03866109156277,-1.03872291472037,7.13048916437129e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,5,1
1.47490085143812e-156,-10139.9060144115,2.00957523712924,-0.5,-1.27333738365002,-1.27334710603537,1.57697842624903e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,5,2
7.69377084219897e-103,812.353836942555,2.00957523712924,-0.5,0.0764632181552298,0.076319582293857,8.82635716148645e-09,1e-08,50,1,affirm2,,,TRUE,TRUE,1,TRUE,6,1
1.60891567229109e-153,-8791.00608453445,2.00957523712924,-0.5,-0.88187876331274,-0.881967178371149,1.00653222974366e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,7,1
9.29955762561571e-149,-7028.39692073001,2.00957523712924,-0.5,-0.785801483451337,-0.785983187923513,1.25058712624789e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,7,2
9.0220620843361e-121,1886.65933372599,2.00957523712924,-0.5,0.204278921493115,0.204114283512523,1.17046873284117e-08,1e-08,50,1,affirm2,,,TRUE,TRUE,1,TRUE,8,1
2.24868761575149e-137,-4116.61474858635,2.00957523712924,-0.5,-0.392776701905524,-0.392867637828186,9.10777010753621e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,9,1
3.58887450059756e-127,-2548.67319119617,2.00957523712924,-0.5,-0.244416484644098,-0.244343801144516,9.19124515259e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,9,2
6.63259712795845e-157,-10306.6417827767,2.00957523712924,-0.5,-1.06274387264585,-1.06280087734647,1.06333337297108e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,10,1
7.07708373220833e-154,-8939.59301084196,2.00957523712924,-0.5,-1.02590012055814,-1.02590650436227,1.31698270585534e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,10,2
9.96278237970791e-161,-12335.1320468275,2.00957523712924,-0.5,-1.40348352817104,-1.40344199897197,1.29449784566254e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,11,1
3.49054032646327e-170,-19235.9210463225,2.00957523712924,-0.5,-1.87231393862159,-1.87218981564821,9.47270003794536e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,11,2
4.09105690786796e-79,-266.327579812389,2.00957523712924,-0.5,-0.0298418867181402,-0.0299484035576961,1.26448903640313e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,0,TRUE,12,1
1.36722575826448e-126,2480.04366179881,2.00957523712924,-0.5,0.232728258163493,0.232671097640254,8.80169314897803e-09,1e-08,50,2,affirm2,,,TRUE,TRUE,1,TRUE,12,2
2.4441595092296e-140,-4731.79674402595,2.00957523712924,-0.5,-0.426698055755842,-0.426814970698413,8.13630323225736e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,13,1
2.98632286523099e-125,-2328.76956739635,2.00957523712924,-0.5,-0.249400221213358,-0.249285078105829,1.14588103533636e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,13,2
2.00489241142993e-134,-3583.70821607625,2.00957523712924,-0.5,-0.362986382271814,-0.362955829279156,1.02575175075752e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,0,TRUE,14,1
7.9189535116604e-64,129.70832731635,2.00957523712924,-0.5,0.0115806228890794,0.0115254252841309,7.89547389017366e-09,1e-08,50,2,affirm2,,,TRUE,TRUE,1,TRUE,14,2
2.41778876588771e-152,8318.03037865277,2.00957523712924,-0.5,0.791378048604187,0.791235959577235,9.04838411964891e-09,1e-08,50,1,affirm2,,,TRUE,TRUE,1,TRUE,15,1
8.54420957029725e-118,1640.40233062399,2.00957523712924,-0.5,0.175512563457485,0.175534733925259,1.14505243678696e-08,1e-08,50,1,affirm2,,,TRUE,TRUE,1,TRUE,16,1
8.54637214692895e-152,8106.42564319635,2.00957523712924,-0.5,0.878355647239536,0.878409667625374,1.1741819687877e-08,1e-08,50,1,affirm2,,,TRUE,TRUE,1,TRUE,17,1
1.38880712335219e-139,-4566.96659314942,2.00957523712924,-0.5,-0.467917327788686,-0.467817782880349,1.04929543421212e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,18,1
3.60474945696124e-153,-8647.46361610695,2.00957523712924,-0.5,-0.746670832277902,-0.746696020286896,7.45607360205653e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,18,2
2.88175136989249e-162,-13260.0861468052,2.00957523712924,-0.5,-1.44541902900374,-1.44536100619316,1.18811909746189e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,19,1
1.67105176117881e-168,-17775.6414747234,2.00957523712924,-0.5,-1.42496306135946,-1.42504220150363,6.42694949732984e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,19,2
1.56074682636507e-105,-921.942872186794,2.00957523712924,-0.5,-0.10574701712663,-0.105560557708046,1.31097777786465e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,20,1
2.9196872617215e-139,-4498.23581818843,2.00957523712924,-0.5,-0.411399742887963,-0.411431938264163,8.36587872425265e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,20,2
5.44057565500186e-128,-2648.7132968951,2.00957523712924,-0.5,-0.21008648211633,-0.210072999676296,6.29028858215257e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,21,1
3.09115640250083e-142,-5173.22092882645,2.00957523712924,-0.5,-0.658226047228766,-0.658152746462007,1.61856946916186e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,21,2
5.79932254448323e-86,-367.49411325143,2.00957523712924,-0.5,-0.0323431163425854,-0.0323870282373834,7.76678756301336e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,0,TRUE,22,1
2.97264557743315e-99,686.332773803171,2.00957523712924,-0.5,0.0658939414078995,0.0657682849087019,9.18255540531657e-09,1e-08,50,2,affirm2,,,TRUE,TRUE,1,TRUE,22,2
3.01342815288761e-147,-6546.77937775599,2.00957523712924,-0.5,-0.679191132452063,-0.679151332704389,1.07616212463115e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,23,1
1.76444871505778e-147,-6618.68367253589,2.00957523712924,-0.5,-0.677685912905191,-0.67769176012965,1.04838587205543e-08,1e-08,50,2,affirm2,,,TRUE,FALSE,1,FALSE,23,2
3.4149510914793e-123,2114.07821455917,2.00957523712924,-0.5,0.21499213364974,0.214963591458427,1.03392185854065e-08,1e-08,50,1,affirm2,,,TRUE,TRUE,1,TRUE,24,1
2.39314218592679e-123,-2129.47443762591,2.00957523712924,-0.5,-0.184599847397158,-0.184472063842409,7.50440649980991e-09,1e-08,50,2,affirm2,,,TRUE,FALSE,0,FALSE,25,1
