pval,tstat,tcrit,mui,muin,yi,vi,viTrue,m,N,hack,rhoEmp,covEmp,signif,affirm,Di,study.success,study,draw.index
4.34698199080983e-164,-14445.0545032724,2.00957523712924,-0.5,-1.45845270168452,-1.45847122800423,1.0194298881855e-08,1e-08,50,3,affirm2,1,0.376871284081778,TRUE,FALSE,0,TRUE,1,1
5.43361336447838e-160,-11915.4085845197,2.00957523712924,-0.5,-1.109054414781,-1.10896190330254,8.66194407838328e-09,1e-08,50,3,affirm2,1,0.376871284081778,TRUE,FALSE,0,TRUE,1,2
7.71129957791236e-154,8923.94876988234,2.00957523712924,-0.5,1.04820449694254,1.04816927384923,1.37958578968728e-08,1e-08,50,3,affirm2,1,0.376871284081778,TRUE,TRUE,1,TRUE,1,3
3.79871757836169e-155,-9489.43957203117,2.00957523712924,-0.5,-0.937987878970431,-0.938133401501988,9.77345389822048e-09,1e-08,50,5,affirm2,-0.733558869224126,-0.266854831457467,TRUE,FALSE,0,TRUE,2,1
2.00659042423946e-141,-4979.4648772994,2.00957523712924,-0.5,-0.440992932750971,-0.441180839075845,7.84996893024512e-09,1e-08,50,5,affirm2,-0.733558869224126,-0.266854831457467,TRUE,FALSE,0,TRUE,2,2
1.48662883150263e-145,-6046.07807822677,2.00957523712924,-0.5,-0.611106616108092,-0.610995664716385,1.02124220557942e-08,1e-08,50,5,affirm2,-0.733558869224126,-0.266854831457467,TRUE,FALSE,0,TRUE,2,3
2.59845546020397e-169,-18463.7829053146,2.00957523712924,-0.5,-1.5931793534699,-1.59319171291559,7.44551438793265e-09,1e-08,50,5,affirm2,-0.733558869224126,-0.266854831457467,TRUE,FALSE,0,TRUE,2,4
3.17202532143408e-113,1323.39604895048,2.00957523712924,-0.5,0.125647189303096,0.12573625315679,9.02695675103013e-09,1e-08,50,5,affirm2,-0.733558869224126,-0.266854831457467,TRUE,TRUE,1,TRUE,2,5
1.39674845632967e-126,2478.9626248446,2.00957523712924,-0.5,0.232729783393494,0.232674217575707,8.80960764011813e-09,1e-08,50,1,affirm2,,,TRUE,TRUE,1,TRUE,3,1
3.82353055142449e-146,-6215.9746663176,2.00957523712924,-0.5,-0.619506361468427,-0.619342621972268,9.9275815923942e-09,1e-08,50,4,affirm2,0.501902539426752,0.130939499202726,TRUE,FALSE,0,TRUE,4,1
