study,pval,tstat,tcrit,mui,muin,yi,vi,N,hack,signif,affirm,Di
1,0.900112090721475,0.126171976800299,2.00957523712924,0.152882337775873,0.386153612723329,0.114052293857984,0.817113214239261,20,no,FALSE,FALSE,0
1,0.461728394155782,-0.741835004158213,2.00957523712924,0.152882337775873,0.165379250959988,-0.82090209783601,1.2245262146238,20,no,FALSE,FALSE,0
1,0.937937643896919,0.0782629155439082,2.00957523712924,0.152882337775873,0.13377767230571,0.0649115004833683,0.687909411493441,20,no,FALSE,FALSE,0
1,0.608661558095218,0.515298457248725,2.00957523712924,0.152882337775873,0.458288020460407,0.453425654940334,0.774273674690828,20,no,FALSE,FALSE,0
1,0.142102629954407,1.49202775398274,2.00957523712924,0.152882337775873,0.393113036627501,1.51825225235378,1.03546175951245,20,no,FALSE,FALSE,0
1,0.366629322361775,0.91124166269208,2.00957523712924,0.152882337775873,-0.143299190445279,1.02278671850125,1.25980411911695,20,no,FALSE,FALSE,0
1,0.976410386505363,-0.0297208780926548,2.00957523712924,0.152882337775873,-0.189486586539897,-0.0299951985275328,1.01854497082726,20,no,FALSE,FALSE,0
1,0.0667717488407,1.87490872112941,2.00957523712924,0.152882337775873,0.222476526760913,1.97671411855988,1.11154607637816,20,no,FALSE,FALSE,0
1,0.620837088138663,-0.497821053303463,2.00957523712924,0.152882337775873,-0.345567375726046,-0.467896702437189,0.883391976013449,20,no,FALSE,FALSE,0
1,0.766074433506152,0.299171537964466,2.00957523712924,0.152882337775873,0.421483772385007,0.265927756121999,0.790108601932781,20,no,FALSE,FALSE,0
1,0.456840120323253,0.750001241548372,2.00957523712924,0.152882337775873,0.449541298016938,0.804719345348781,1.15123747698004,20,no,FALSE,FALSE,0
1,0.551729589284807,-0.599306517373644,2.00957523712924,0.152882337775873,0.457706439729078,-0.590992508568229,0.972447021259715,20,no,FALSE,FALSE,0
1,0.378251985594484,-0.889178057338791,2.00957523712924,0.152882337775873,0.109639733285116,-1.06069003166011,1.42298230964924,20,no,FALSE,FALSE,0
1,0.351380482755696,0.940882766060359,2.00957523712924,0.152882337775873,0.571550273616653,0.841778858263195,0.80043302812626,20,no,FALSE,FALSE,0
