study,pval,tstat,tcrit,mui,muin,yi,vi,viTrue,m,N,hack,signif,affirm,Di,Mu,T2,m,t2w,se,Nmax,hack,k,k.hacked
1,0.0123386135408442,2.59835372215739,2.00957523712924,0.815812737036027,0.608299268507976,2.17136467823769,0.698343334682023,1,50,10,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
2,0.0198603868715547,2.4077619635806,2.00957523712924,0.887709248229726,0.724619646253517,2.08732670161792,0.75154286945138,1,50,11,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
3,0.0261339426939533,2.29372239596414,2.00957523712924,1.0566312141503,1.39066052052246,2.25509813704638,0.966605322610081,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
4,0.0412308561787642,2.09641959778554,2.00957523712924,1.30835341818471,1.0614145179921,1.94331338743001,0.85926923590635,1,50,4,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
5,0.0489021440109161,2.01968723256702,2.00957523712924,0.756366551876154,0.714113717296654,1.69615134980396,0.705279019021306,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
6,0.0282107689281564,2.26135423239675,2.00957523712924,0.988004163745314,1.24654632627634,1.94982154878188,0.743451316893168,1,50,13,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
7,0.0188329238875455,2.42946185750579,2.00957523712924,0.651789424650535,1.06205175923155,2.26411267028025,0.868512153470136,1,50,11,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
8,0.0187571791703055,2.43110348650636,2.00957523712924,0.926848512277505,1.09773579021645,2.27872813522422,0.878573575028575,1,50,7,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
9,0.0122326914426672,2.60173025366931,2.00957523712924,1.01225843690613,1.48499901040171,2.78115636706518,1.14268435227789,1,50,6,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
10,0.0421800990888053,2.08628193643774,2.00957523712924,0.883274521745003,0.620936746389263,2.30310353680136,1.21865543253992,1,50,7,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
11,0.0343544560254093,2.17665123542473,2.00957523712924,0.718716469821623,1.0725010176985,2.15620659078499,0.981302811362118,1,50,13,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
12,0.00784547664005332,2.77244038409838,2.00957523712924,0.935670601080922,0.932532656609184,2.95043963287727,1.13252822388904,1,50,1,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
13,0.0369806226715749,2.14447563936462,2.00957523712924,0.715423896547056,0.450114155815835,2.23798892172922,1.08911472675432,1,50,18,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
14,0.0151571710669302,2.51700817132353,2.00957523712924,0.826996992805779,1.07062710827842,2.66218662835365,1.11868481889835,1,50,12,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
15,0.0224852453681117,2.35659786184233,2.00957523712924,0.843720295811788,1.06783147468811,2.3754045085692,1.01602453225172,1,50,3,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
16,0.0210467291807622,2.38392907722696,2.00957523712924,0.362972234773283,0.361272108233292,2.71935669101956,1.30120490448318,1,50,42,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
17,0.00831450943108333,2.7504690186555,2.00957523712924,1.99609925678911,2.37162381446412,3.07040275116632,1.24616967374574,1,50,2,affirm,TRUE,TRUE,TRUE,1,0.1,50,0.1,1,200,affirm,2000,2000
