study,pval,tstat,tcrit,mui,muin,yi,vi,viTrue,m,N,hack,signif,affirm,Di,Mu,T2,t2w,se,Nmax,k,k.hacked
1,0.124824752978091,1.53741820455842,1.96472939098769,0.612243894944373,1.08460485014396,0.761305637341671,0.245207671278053,0.25,500,2,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,10,2000,2000
1,0.00788224617354547,2.66784283750715,1.96472939098769,0.612243894944373,1.08262696309015,1.30536958447647,0.23941231996885,0.25,500,2,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,10,2000,2000
2,0.00572902437359812,2.77489951502896,1.96472939098769,0.393801441882089,0.875011515807237,1.3608284728638,0.24049843409884,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,10,2000,2000
3,1.04810466780162e-07,5.39720264149482,1.96472939098769,2.44587698121554,1.92520821641482,2.66267045608626,0.243387007300419,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,10,2000,2000
4,0.394241195584154,0.852688413597052,1.96472939098769,0.568639201143043,0.778477160921482,0.438099547253304,0.263976268285095,0.25,500,3,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,10,2000,2000
4,0.489225806369882,0.692053203425424,1.96472939098769,0.568639201143043,-0.274038610559249,0.357002518125591,0.266111468945367,0.25,500,3,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,10,2000,2000
4,0.015134201422141,2.4375776042463,1.96472939098769,0.568639201143043,0.797450870071025,1.2258685718627,0.252912864153255,0.25,500,3,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,10,2000,2000
5,0.860724336981592,0.17554282070314,1.96472939098769,0.961792952350723,0.215082589800967,0.0852788593052431,0.23600250901179,0.25,500,2,affirm,FALSE,FALSE,FALSE,1,0.25,0.25,0.5,10,2000,2000
5,0.0140191829510476,2.46546042170547,1.96472939098769,0.961792952350723,1.49795892138816,1.23681268972089,0.251658610651926,0.25,500,2,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,10,2000,2000
6,0.000743917137669236,3.39389150705921,1.96472939098769,1.7816495289647,2.74962013856578,1.69184110549175,0.248498192920181,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,10,2000,2000
7,0.00545041182849143,2.79132935077256,1.96472939098769,-0.0727057001918949,0.386992818388908,1.43380891713421,0.263851999486914,0.25,500,1,affirm,TRUE,TRUE,TRUE,1,0.25,0.25,0.5,10,2000,2000
