study,pval,tstat,tcrit,mui,muin,yi,vi,viTrue,m,N,hack,rhoEmp,covEmp,signif,affirm,Di
1,0.128052277597565,1.53467968734582,1.98421695158642,2.0054297404721,2.0054297404721,1.59128805785858,1.07513281423278,1,100,1,no,,,FALSE,FALSE,1
2,0.399669177452086,-0.845862710982241,1.98421695158642,0.122757717522142,0.122757717522142,-0.72389168233648,0.732398444350196,1,100,1,no,,,FALSE,FALSE,1
3,0.911579010868339,-0.111331335813295,1.98421695158642,0.0147361594884416,0.0147361594884416,-0.119813806926874,1.15818755773712,1,100,1,no,,,FALSE,FALSE,1
5,0.0835923269531457,1.74783885532454,1.98421695158642,1.05744160884103,1.05744160884103,1.63186929229704,0.871701836426644,1,100,1,no,,,FALSE,FALSE,1
8,0.809205961184121,0.24209679421278,1.98421695158642,0.505024284587296,0.505024284587296,0.206020470414312,0.724173572031079,1,100,1,no,,,FALSE,FALSE,1
9,0.934510846147495,-0.0823800304732101,1.98421695158642,0.477398989862374,0.477398989862374,-0.0769006234866707,0.871396528295312,1,100,1,no,,,FALSE,FALSE,1
10,0.847124086465546,-0.193294835338239,1.98421695158642,-0.078548713883754,-0.078548713883754,-0.204027745860454,1.11413537143415,1,100,1,no,,,FALSE,FALSE,1
12,0.120130928581848,1.56774764971577,1.98421695158642,1.82842859039152,1.82842859039152,1.45537245019769,0.861779149843569,1,100,1,no,,,FALSE,FALSE,1
13,0.166621260771017,1.39339370021375,1.98421695158642,1.28842464574651,1.28842464574651,1.32043015103576,0.898014149732239,1,100,1,no,,,FALSE,FALSE,1
14,2.28755950090572e-08,-6.07730791518182,1.98421695158642,-3.3089058920358,-3.3089058920358,-5.85706909220813,0.928834230701341,1,100,1,no,,,TRUE,FALSE,1
15,0.220265258707629,-1.23362019371661,1.98421695158642,-1.72206466038611,-1.72206466038611,-1.43777912169713,1.358380397699,1,100,1,no,,,FALSE,FALSE,1
16,0.146455147804746,1.46365885148027,1.98421695158642,1.748909904243,1.748909904243,1.36904686902703,0.87489695653301,1,100,1,no,,,FALSE,FALSE,1
18,0.0507655278024696,1.97750039912707,1.98421695158642,1.09281146462165,1.09281146462165,2.2327368751461,1.27479963529149,1,100,1,no,,,FALSE,FALSE,1
21,0.685479791733645,0.406189831641396,1.98421695158642,-0.478284362776524,-0.478284362776524,0.424083922755836,1.09004774872993,1,100,1,no,,,FALSE,FALSE,1
23,0.276143939303434,1.09506778052516,1.98421695158642,2.44942119639453,2.44942119639453,1.19045209065124,1.18179416605038,1,100,1,no,,,FALSE,FALSE,1
24,0.0703899411537198,1.82913266879574,1.98421695158642,1.15741878769123,1.15741878769123,1.75107650295735,0.916473323244853,1,100,1,no,,,FALSE,FALSE,1
26,0.61999875179806,-0.497415934475777,1.98421695158642,1.20596708838889,1.20596708838889,-0.491112026920159,0.974813987946877,1,100,1,no,,,FALSE,FALSE,1
28,0.0413523184292083,-2.06691129353889,1.98421695158642,-0.0672134855297923,-0.0672134855297923,-2.03866854947825,0.972858258095085,1,100,1,no,,,TRUE,FALSE,1
29,0.555677666596131,-0.591284237987873,1.98421695158642,0.599098958968614,0.599098958968614,-0.60323726935005,1.04083940710618,1,100,1,no,,,FALSE,FALSE,1
30,0.140891450997765,1.48435635166122,1.98421695158642,2.18875086151461,2.18875086151461,1.49895390849542,1.01976524700991,1,100,1,no,,,FALSE,FALSE,1
31,0.182022320447824,1.34399395603243,1.98421695158642,1.61065112884223,1.61065112884223,1.23332699251715,0.842096460069097,1,100,1,no,,,FALSE,FALSE,1
33,0.668701315921722,0.429212341400739,1.98421695158642,0.284421094095999,0.284421094095999,0.423308984486178,0.972681308679598,1,100,1,no,,,FALSE,FALSE,1
35,0.41073948266466,0.826089948341887,1.98421695158642,1.34841128814376,1.34841128814376,0.827200524642378,1.00269056128651,1,100,1,no,,,FALSE,FALSE,1
36,0.999985880261183,1.77412120374401e-05,1.98421695158642,-0.0622155639827722,-0.0622155639827722,1.55872331760917e-05,0.771918574795106,1,100,1,no,,,FALSE,FALSE,1
